mapbox-id,sgi_id,name,min_lng,min_lat,max_lng,max_lat,slope_deg,aspect_deg
288,A51f-16,Steigletscher,8.412065695742031,46.683680727210884,8.428204917556613,46.69089501489019,19.54,142
289,A51f-18,Rotstock E,8.435244164936348,46.68130076787233,8.439943877156884,46.685974785082,29.52,163
290,A51f-19,Brunnenfirn W,8.4413149622902,46.67816523699016,8.455751200909692,46.68822107626081,23.14,196
291,A51f-20,Brunnenfirn E,8.455167224069411,46.674996423308926,8.463453934197013,46.682190028175036,24.2,194
292,A51f-22,Stockgletscher,8.47176881721353,46.67001072943698,8.482260105566969,46.6727195695338,28.09,57
293,A51f-23,Flachensteinfirn,8.453145382353313,46.67292009689053,8.484831144229034,46.69581292216277,25.35,77
294,A51f-24,Wallenburfirn,8.451332726705978,46.69867108039589,8.477807112596171,46.71313759134208,23.69,94
295,A51f-26,Hangfirn SW (Wassen),8.479266934128605,46.71000013926005,8.485913593306567,46.716311402603246,23.92,199
296,A51f-27,Zenden,8.488136414107483,46.70641637123989,8.491273922264497,46.709083980775034,27.32,210
297,A51f-28,Salbitgletscher,8.52762345743589,46.68143152676575,8.532574378567821,46.68360434668258,26.48,68
298,A51f-29,Rohrfirn,8.523320712977396,46.685255596468565,8.530274956589414,46.69212163956402,29.99,96
299,A51f-32,Kartigelfirn,8.501398873559252,46.6913957493933,8.528114211064988,46.7091569738757,28.27,31
300,A51f-34,Rütifirn,8.488187564168902,46.70957200648222,8.513047450201302,46.72165715355849,25.74,53
301,A51f-35,Griessenfirn,8.47804988446347,46.72441729577051,8.489262748468562,46.729514341098685,31.02,27
302,A51f-36,Blaugand,8.473852549497952,46.728338873206326,8.479792611718308,46.73155427383489,31.92,8
303,A51f-37,Tschingelfirn E (Wassen),8.484282218791817,46.718042412880635,8.487514510644486,46.71979827102565,32.01,281
304,A51f-38,Tschingelfirn W (Wassen),8.471967996648845,46.714027844802274,8.485154193920964,46.72357682373121,23.56,305
305,A51f-40,Chalchtalfirn,8.447577778622593,46.71266045410391,8.46235117949243,46.72036208125687,28.35,26
306,A51f-42,Sustenlochfirn,8.440689704117636,46.742858930361436,8.450128679787957,46.746656296326385,24.64,107
307,A51f-43,Chli Sustlifirn,8.437437522108034,46.747529419635356,8.452875292588109,46.75397015911686,28.82,96
308,A51f-44,Stössenfirn W,8.44750414543362,46.75623256750175,8.456728027426292,46.76204318927875,31.45,96
309,A51f-45,Stössenfirn zentral,8.454466090803546,46.75923773164677,8.461494827897498,46.767197881860014,24.21,148
310,A51f-46,Stössenfirn E,8.458854804536017,46.76249813004652,8.472425934865578,46.76935949414928,22.14,202
311,A51f-47,Murmetsplanggstock,8.471001171861406,46.760945565162864,8.475783754434792,46.762492747244686,29.0,261
312,A51f-48,Wichelplanggfirn,8.472735909845044,46.76117285951128,8.486642920708459,46.76797485376805,22.49,138
313,A51f-49,Höhenberg,8.483614529287818,46.76495548363992,8.492327362205476,46.770723138921795,30.57,126
314,A51f-50,Chüefadfirn,8.489702618393244,46.768451827927564,8.501680737988757,46.773720617474225,29.16,159
315,A51f-51,Chüefadfirn,8.500412541142866,46.77199554675223,8.514535027496054,46.78856627559355,23.25,175
316,A51f-52,Rossfirn W,8.513643915863836,46.77280097734599,8.523948806387372,46.77912571039251,23.0,153
317,A51f-54,Rossfirn E,8.529079960655636,46.7706912312624,8.53765552453611,46.7767587294238,27.91,242
318,A51f-55,Sewenzwächten,8.532540190345124,46.75967304800103,8.542033304849012,46.7673639885238,23.41,189
319,A51f-56,Bächenfirn N,8.536948142022874,46.763649283603925,8.544774764174836,46.7730654899484,24.5,126
320,A51f-57,Zwächten,8.53747581839403,46.77289771631702,8.546610308235767,46.778641309410155,28.34,90
321,A51f-59,Sassfirn,8.558041814160562,46.77812221942788,8.563540263753666,46.782408157997985,19.67,158
322,A51f-60,Schindlach,8.574941418286736,46.76542752208679,8.578817616648676,46.76836850782994,32.47,31
323,A51f-61,Leitschachfirn,8.570958650314275,46.77791479158514,8.576898292040166,46.780570040040075,33.33,83
324,A51f-63,Hinter Lochstock,8.52673794263038,46.63418298896905,8.529333038939619,46.63574274646813,35.79,350
325,A51f-64,Schwarz Stöckli E,8.518436425935647,46.63485238310807,8.520801823563296,46.63661918769089,36.26,0
326,A51f-65,Schwarz Stöckli W,8.512771825264455,46.63431005826641,8.515686004029037,46.6366343629247,33.61,13
327,A51f-66,Gross Band,8.507372904565946,46.63531858503518,8.50927717991183,46.63685150075966,34.06,348
328,A51f-68,Rotfirn,8.43501388974971,46.64590502514206,8.439079945458186,46.646913593768055,35.51,22
329,A51f-69,Maasplanggfirn,8.402630409853684,46.66664933483843,8.424825400618662,46.67508943483319,25.78,76
330,A51f-71,Rotstock W,8.430719898082891,46.683154503869964,8.434684107267232,46.686460230366606,31.57,177
331,A51f-74,Bergseeschijen,8.476369164846318,46.66674850615349,8.48072960373977,46.66800435603201,32.02,130
332,A51f-75,Brunnenfirn S,8.457470398903014,46.69470704801027,8.468667517387386,46.69908809559351,32.06,91
333,A51f-76,Hangfrin NE (Wassen),8.488065798933736,46.71930061177838,8.49832024938058,46.72554806885464,30.82,49
334,A51f-77,Chli Sustli N,8.444092493809242,46.75295701733809,8.451460643094885,46.7566039790304,31.74,120
335,A51f-78,Grassengrat S 1,8.481043949522093,46.766226523675535,8.484948129430142,46.76870194750167,32.62,205
336,A51f-79,Bärengrueben,8.496493160869532,46.77400730365775,8.498952799969212,46.77602638749745,25.42,178
337,A51f-80,Chüefadstock,8.504376230705233,46.77128609218491,8.507563804095565,46.773308864211344,27.29,143
338,A51f-82,Ross,8.534572679585706,46.76941319015915,8.53763248297471,46.77161536140336,25.76,266
339,A51f-83,Bächenfirn S,8.54309681326483,46.75894920891102,8.550003182889105,46.76358888838416,26.8,95
340,A51f-85,Grassengrat S 2,8.476532213246799,46.76689343642143,8.479094579347269,46.76836341763874,33.38,140
341,A51f-86,Glatt Firn,8.5427139686318,46.77866623337443,8.548356084508708,46.781464697607824,11.69,63
342,A51g-02,Chli Krönten N,8.56891987091873,46.7846218628887,8.578693890803953,46.7878379381017,32.95,355
